"donor_id","wallet_address","first_seen_funding_round_id","supported_round_count","supported_project_count","total_donation_event_count","done_event_count","success_true_event_count","success_false_event_count","total_amount_usd_all_events","done_amount_usd","success_true_amount_usd","success_false_amount_usd","notes"
"DSDN-000070","0xd90a9ab5fee2c5d3d4cd1fd508ac6e1b88c7315e","FR-GTC-GG23-DESCI","1","1","1","1","1","0","1.2706","1.2706","1.2706","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000071","0xe09a218d78c2596d7f2c325aef10ecfe4ee0c2f7","FR-GTC-GG23-DESCI","1","1","2","2","0","2","8.9026","8.9026","0","8.9026","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000072","0xe3f4f3ad70c1190ec480554bbc3ed30285ae0610","FR-GTC-GG23-DESCI","1","1","1","1","1","0","0.999","0.999","0.999","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000073","0xe5adabbd71225e8074e30ff6ce2a66c9319c071b","FR-GTC-GG23-DESCI","1","11","11","11","11","0","13.1984","13.1984","13.1984","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000074","0xeb1eb92c7a3e455b3b239d7d3b3e501ef2978333","FR-GTC-GG23-DESCI","1","2","2","2","0","2","0.1202","0.1202","0","0.1202","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000075","0xf3ad97364bccc3ea0582ede58c363888f8c4ec85","FR-GTC-GG23-DESCI","1","1","1","1","1","0","2.0001","2.0001","2.0001","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000076","0xfa00ae0472c21e3653479ff0f5ccc963df27c996","FR-GTC-GG23-DESCI","1","2","2","2","2","0","4.0007","4.0007","4.0007","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000077","0xfb33adaef6b62b26d14a3817158a4766b8a05267","FR-GTC-GG23-DESCI","1","2","2","2","2","0","0.2818","0.2818","0.2818","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000078","0xfc9265a28f66cf4561d74a4e25d7bbd3f482b8e6","FR-GTC-GG23-DESCI","1","6","7","7","0","7","13.6077","13.6077","0","13.6077","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000079","0xfc9b4f407dccbf8d009e8691eed0053828df631f","FR-GTC-GG23-DESCI","1","3","3","3","0","3","4.8556","4.8556","0","4.8556","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000080","0xff04e4631d8dc1156399552a4a8161b3c3edebc9","FR-GTC-GG23-DESCI","1","1","1","0","0","0","1.0183","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
